DC,Item,DOS Target,Plan_inc
Delaware,D6AMER,1,10
Delaware,D6CAESR,1,10
Delaware,D6LFCSR,1,10
Delaware,D62ROM,1,40
Delaware,DFAMUCR,1,10
Delaware,D6CSPIN,1,10
Delaware,D12SPIN,1,10
Delaware,DMSWGRP,1,14
Delaware,DMMCORN,1,14
Delaware,DMMAPLC,1,14
Delaware,D610AHW,1,10
Delaware,D10VVEG,1,10
Delaware,DROMFAM,1,10
Delaware,D6HRTS,1,10
Delaware,D6CPBBQ,1,10
Delaware,D6CPCHI,1,10
Delaware,DASICHP,1,10
Delaware,DSUNKAL,1,10
Delaware,D6BUTB,1,10
Delaware,DAVORCH,1,10
Delaware,DSWTKAL,1,10
Delaware,DCPPRCH,1,10
Delaware,DCPBUFR,1,10
Delaware,D6CPCSR,1,10
Delaware,D6ULCSR,1,10
Delaware,D6CPGRK,1,10
Delaware,DCPBCSR,1,10
Delaware,D95ROM,1,10
Delaware,D6ENSMR,1,10
Delaware,D6SWEST,1,10
Delaware,D1214SW,1,10
Delaware,D128SHD,1,10
Delaware,KRSLW16,1,90
Delaware,KRHRT10,1,90
Delaware,KRAMR12,1,90
Delaware,KRPRM10,1,90
Delaware,KRGRD12,1,90
Delaware,KRFLDG8,1,120
Delaware,KRGRD24,1,60
Delaware,KRITL10,1,90
Delaware,KRROM10,1,90
Delaware,KRVEG12,1,90
Delaware,KRSPN10,1,72
Delaware,KRSPR10,1,72
Delaware,KRSHDGL,1,10
Delaware,KR6SM5,1,96
Delaware,KR65050,1,48
Delaware,KR6SP6,1,48
Delaware,KRSHRD8,1,120
Delaware,KROSP5,1,96
Delaware,KROSP16,1,45
Delaware,KROSM5,1,96
Delaware,KROSM16,1,45
Delaware,KROROM,1,48
Delaware,KRO5050,1,96
Delaware,KROARU,1,96
Delaware,KROKALE,1,48
Delaware,KROPWRG,1,96
Delaware,KRO5016,1,45
Delaware,KRTNSPN,1,60
Delaware,KRCPKAL,1,60
Delaware,KRARTSN,1,60
Delaware,KRSRM8,1,50
Atlanta,D6AMER,1,10
Atlanta,D6CAESR,1,10
Atlanta,D6LFCSR,1,10
Atlanta,D62ROM,1,10
Atlanta,DFAMUCR,1,10
Atlanta,D6CSPIN,1,10
Atlanta,D12SPIN,1,10
Atlanta,D6ARUGL,1,10
Atlanta,DMSWGRP,1,10
Atlanta,DMMCORN,1,10
Atlanta,DMMAPLC,1,10
Atlanta,D610AHW,1,10
Atlanta,D10VVEG,1,10
Atlanta,DROMFAM,1,10
Atlanta,D6HRTS,1,10
Atlanta,D6CPBBQ,1,10
Atlanta,D6CPCHI,1,10
Atlanta,DASICHP,1,10
Atlanta,DSUNKAL,1,10
Atlanta,D6BUTB,1,10
Atlanta,DAVORCH,1,10
Atlanta,DSWTKAL,1,10
Atlanta,DCPPRCH,1,10
Atlanta,DCPBUFR,1,10
Atlanta,D6CPCSR,1,10
Atlanta,D6ULCSR,1,10
Atlanta,D6CPGRK,1,10
Atlanta,DCPBCSR,1,10
Atlanta,D95ROM,1,10
Atlanta,D6ENSMR,1,10
Atlanta,D6SWEST,1,10
Atlanta,D1214SW,1,10
Atlanta,D14DSLW,1,10
Atlanta,D128SHD,1,10
Atlanta,KRSLW16,1,90
Atlanta,KRHRT10,1,90
Atlanta,KRAMR12,1,90
Atlanta,KRPRM10,1,90
Atlanta,KRGRD12,1,90
Atlanta,KRFLDG8,1,120
Atlanta,KRGRD24,1,60
Atlanta,KRITL10,1,90
Atlanta,KRROM10,1,90
Atlanta,KRVEG12,1,90
Atlanta,KRSPN10,1,72
Atlanta,KRSPR10,1,72
Atlanta,KRSHDGL,1,10
Atlanta,KR6SM5,1,96
Atlanta,KR65050,1,96
Atlanta,KR6SP6,1,96
Atlanta,KRSHRD8,1,120
Atlanta,KROSP5,1,96
Atlanta,KROSP16,1,45
Atlanta,KROSM5,1,96
Atlanta,KROSM16,1,45
Atlanta,KROROM,1,96
Atlanta,KRO5050,1,96
Atlanta,KROARU,1,96
Atlanta,KROKALE,1,96
Atlanta,KROPWRG,1,96
Atlanta,KRO5016,1,45
Atlanta,KRTNSPN,1,60
Atlanta,KRCPKAL,1,10
Atlanta,KRARTSN,1,10
Atlanta,KRSRM8,1,10
