DC,LAZY CODE,Date,value
Atlanta,D6AMER,8/31/2021,79
Atlanta,D6CAESR,8/31/2021,137.6
Atlanta,D6LFCSR,8/31/2021,76.8
Atlanta,D62ROM,8/31/2021,93.6
Atlanta,DFAMUCR,8/31/2021,83.6
Atlanta,D6CSPIN,8/31/2021,109.3333333
Atlanta,D12SPIN,8/31/2021,62
Atlanta,D6ARUGL,8/31/2021,33
Atlanta,DMSWGRP,8/31/2021,20
Atlanta,DMMCORN,8/31/2021,23.66666667
Atlanta,DMMAPLC,8/31/2021,20
Atlanta,D610AHW,8/31/2021,68
Atlanta,D10VVEG,8/31/2021,67.66666667
Atlanta,DROMFAM,8/31/2021,45.33333333
Atlanta,D6HRTS,8/31/2021,77.66666667
Atlanta,D6CPBBQ,8/31/2021,46.4
Atlanta,D6CPCHI,8/31/2021,42
Atlanta,DASICHP,8/31/2021,73.2
Atlanta,DSUNKAL,8/31/2021,73.2
Atlanta,D6BUTB,8/31/2021,97.33333333
Atlanta,DAVORCH,8/31/2021,40
Atlanta,DSWTKAL,8/31/2021,28.66666667
Atlanta,DCPPRCH,8/31/2021,45
Atlanta,DCPBUFR,8/31/2021,35
Atlanta,D6CPCSR,8/31/2021,124.4
Atlanta,D6ULCSR,8/31/2021,249.2
Atlanta,D6CPGRK,8/31/2021,53.6
Atlanta,DCPBCSR,8/31/2021,78
Atlanta,D95ROM,8/31/2021,69.66666667
Atlanta,D6ENSMR,8/31/2021,55.66666667
Atlanta,D6SWEST,8/31/2021,49
Atlanta,D1214SW,8/31/2021,100
Atlanta,D14DSLW,8/31/2021,17.33333333
Atlanta,D128SHD,8/31/2021,130
Atlanta,KRSLW16,8/31/2021,250
Atlanta,KRHRT10,8/31/2021,124.6666667
Atlanta,KRAMR12,8/31/2021,122.3333333
Atlanta,KRPRM10,8/31/2021,148
Atlanta,KRGRD12,8/31/2021,127
Atlanta,KRFLDG8,8/31/2021,115
Atlanta,KRGRD24,8/31/2021,86
Atlanta,KRITL10,8/31/2021,84
Atlanta,KRROM10,8/31/2021,90.66666667
Atlanta,KRVEG12,8/31/2021,73.66666667
Atlanta,KRSPN10,8/31/2021,89.33333333
Atlanta,KRSPR10,8/31/2021,78.66666667
Atlanta,KRSHDGL,8/31/2021,156
Atlanta,KR6SM5,8/31/2021,92.33333333
Atlanta,KR65050,8/31/2021,72.66666667
Atlanta,KR6SP6,8/31/2021,161.3333333
Atlanta,KRSHRD8,8/31/2021,333.6
Atlanta,KROSP5,8/31/2021,563.2
Atlanta,KROSP16,8/31/2021,294.8
Atlanta,KROSM5,8/31/2021,296
Atlanta,KROSM16,8/31/2021,189.6
Atlanta,KROROM,8/31/2021,120
Atlanta,KRO5050,8/31/2021,157.6
Atlanta,KROARU,8/31/2021,216
Atlanta,KROKALE,8/31/2021,89.6
Atlanta,KROPWRG,8/31/2021,146.4
Atlanta,KRO5016,8/31/2021,98.8
Atlanta,KRTNSPN,8/31/2021,305.3333333
Atlanta,KRCPKAL,8/31/2021,50
Atlanta,KRARTSN,8/31/2021,50
Atlanta,KRSRM8,8/31/2021,60
Atlanta,D6AMER,9/1/2021,113.6666667
Atlanta,D6CAESR,9/1/2021,194
Atlanta,D6LFCSR,9/1/2021,91.6
Atlanta,D62ROM,9/1/2021,134.4
Atlanta,DFAMUCR,9/1/2021,112
Atlanta,D6CSPIN,9/1/2021,157
Atlanta,D12SPIN,9/1/2021,72.33333333
Atlanta,D6ARUGL,9/1/2021,49.33333333
Atlanta,DMSWGRP,9/1/2021,20
Atlanta,DMMCORN,9/1/2021,28.66666667
Atlanta,DMMAPLC,9/1/2021,20
Atlanta,D610AHW,9/1/2021,77.66666667
Atlanta,D10VVEG,9/1/2021,75.66666667
Atlanta,DROMFAM,9/1/2021,58.33333333
Atlanta,D6HRTS,9/1/2021,100.3333333
Atlanta,D6CPBBQ,9/1/2021,50.8
Atlanta,D6CPCHI,9/1/2021,58
Atlanta,DASICHP,9/1/2021,102.4
Atlanta,DSUNKAL,9/1/2021,89.6
Atlanta,D6BUTB,9/1/2021,125
Atlanta,DAVORCH,9/1/2021,54.66666667
Atlanta,DSWTKAL,9/1/2021,33.33333333
Atlanta,DCPPRCH,9/1/2021,45
Atlanta,DCPBUFR,9/1/2021,35
Atlanta,D6CPCSR,9/1/2021,174.4
Atlanta,D6ULCSR,9/1/2021,330
Atlanta,D6CPGRK,9/1/2021,72.8
Atlanta,DCPBCSR,9/1/2021,104.8
Atlanta,D95ROM,9/1/2021,90
Atlanta,D6ENSMR,9/1/2021,64.66666667
Atlanta,D6SWEST,9/1/2021,62.66666667
Atlanta,D1214SW,9/1/2021,100
Atlanta,D14DSLW,9/1/2021,31.66666667
Atlanta,D128SHD,9/1/2021,140
Atlanta,KRSLW16,9/1/2021,207
Atlanta,KRHRT10,9/1/2021,155
Atlanta,KRAMR12,9/1/2021,159
Atlanta,KRPRM10,9/1/2021,191
Atlanta,KRGRD12,9/1/2021,159.3333333
Atlanta,KRFLDG8,9/1/2021,157.6666667
Atlanta,KRGRD24,9/1/2021,116.6666667
Atlanta,KRITL10,9/1/2021,114.3333333
Atlanta,KRROM10,9/1/2021,123.3333333
Atlanta,KRVEG12,9/1/2021,77.33333333
Atlanta,KRSPN10,9/1/2021,112
Atlanta,KRSPR10,9/1/2021,107
Atlanta,KRSHDGL,9/1/2021,156
Atlanta,KR6SM5,9/1/2021,114.3333333
Atlanta,KR65050,9/1/2021,89.33333333
Atlanta,KR6SP6,9/1/2021,171.6666667
Atlanta,KRSHRD8,9/1/2021,468.8
Atlanta,KROSP5,9/1/2021,707.2
Atlanta,KROSP16,9/1/2021,389.6
Atlanta,KROSM5,9/1/2021,390.8
Atlanta,KROSM16,9/1/2021,244
Atlanta,KROROM,9/1/2021,120
Atlanta,KRO5050,9/1/2021,185.6
Atlanta,KROARU,9/1/2021,282.8
Atlanta,KROKALE,9/1/2021,144.8
Atlanta,KROPWRG,9/1/2021,166.8
Atlanta,KRO5016,9/1/2021,123.6
Atlanta,KRTNSPN,9/1/2021,392
Atlanta,KRCPKAL,9/1/2021,50
Atlanta,KRARTSN,9/1/2021,50
